date,cash_real,pf_real,usd_a3500_real,cer_real_reference,salary_real_reference,ipc_level,fx_a3500,pf_real_monthly_pct,cer_level,cer_observation_date
2023-12-01,100.0,100.0,100.0,100.0,100.0,3533.1922,641.9947,-12.449928,184.9331302207,2023-12-31
2024-01-01,82.9089601665354,90.187872,105.68338720236085,98.8155321362421,96.5405671886049,4261.5324,818.3455,-9.812128,220.41363967987,2024-01-31
2024-02-01,73.2148226732127,86.59227634916353,95.21586464402698,106.61657070629259,96.60607393987239,4825.7881,834.914,-3.986784,269.30251872788,2024-02-29
2024-03-01,65.95353610537536,83.40144102166425,87.35707350654428,112.80586439118143,95.95819863833692,5357.0929,850.3377,-3.684896,316.3066431462,2024-03-31
2024-04-01,60.60128019029104,80.52445743874293,82.0255765537924,115.95556682175332,97.1206224748092,5830.227,868.9583,-3.449561,353.85433891045,2024-04-30
2024-05-01,58.17182789385808,79.53172454912257,80.35966138743417,122.48678648052643,100.98184977515638,6073.717,886.8636,-1.232834,389.3957892444,2024-05-31
2024-06-01,55.625798701610506,78.09214068599005,78.30820250550718,124.54041501313169,102.54155683224731,6351.715,903.7794,-1.810075,414.04616787456,2024-06-30
2024-07-01,53.47044409078554,77.29489645988396,76.9385408938942,125.07271253257142,105.9319398063103,6607.748,923.7652,-1.020902,432.57707369272,2024-07-31
2024-08-01,51.32886589715812,76.529832347673,75.38852698206807,125.21393454511718,107.43508772993448,6883.441,942.9204,-0.989799,451.13416121591,2024-08-31
2024-09-01,49.60786505148238,76.33658533741523,74.3216488333752,125.89756443344879,108.72063553604903,7122.242,961.8254,-0.252512,469.33345455761,2024-09-30
2024-10-01,48.307552932381036,76.79112161105077,73.859110952539,127.38750679046979,110.73188090394521,7313.954,981.5682,0.595437,487.67053911317,2024-10-31
2024-11-01,47.16311476405509,77.19429035773311,73.59840575016742,128.1529777459438,112.26587926400582,7491.431,1001.8377,0.52502,502.50564323889,2024-11-30
2024-12-01,45.92135112943417,77.19334163990462,73.01026506613739,128.00950222023658,112.72246019079437,7694.0075,1020.7061,-0.001229,515.5161457871,2024-12-31
2025-01-01,44.92797209485092,77.46354998491435,73.03055966409045,128.43992973400336,113.51534268644276,7864.1257,1043.5644,0.350041,528.68618687907,2025-01-31
2025-02-01,43.87427546035153,77.40052564064663,72.33591693117144,128.34522574183225,115.09425087260018,8052.9927,1058.4625,-0.08136,540.98407543547,2025-02-28
2025-03-01,42.29688287374457,76.40207511399268,70.4317893806112,126.72351473172952,114.25699450889663,8353.3158,1069.0347,-1.289979,554.06863720577,2025-03-31
2025-04-01,41.152499418853026,76.35117299546873,71.8936253962909,127.00426128019521,114.923855403684,8585.6078,1121.568,-0.066624,570.73800915125,2025-04-30
2025-05-01,40.543891561902704,77.25275284208631,72.46991205521941,129.24890719771219,116.6059568359218,8714.4871,1147.5292,1.180833,589.54392548094,2025-05-31
2025-06-01,39.89797334402521,78.03672304825814,73.41755667020757,129.86389518728834,118.1666551272403,8855.5681,1181.3553,1.014812,601.93876096302,2025-06-30
2025-07-01,39.1533995059604,78.62968508834034,77.27204906243092,129.44882985384655,118.84127531135329,9023.973,1267.0227,0.75985,611.42525579763,2025-07-31
2025-08-01,38.43248543786627,80.1583082839089,79.59167047305394,129.294997870146,120.33830524511706,9193.2441,1329.5375,1.944079,622.15410753649,2025-08-31
2025-09-01,37.6508683493114,81.64023420672459,82.09937559485124,129.0329395557511,120.51326730706774,9384.0922,1399.8977,1.848749,633.78260475259,2025-09-30
2025-10-01,36.78928424452732,82.80831900208648,82.06156554706058,128.64486998357984,120.69780976308775,9603.8623,1432.0227,1.430771,646.67467664684,2025-10-31
2025-11-01,35.901469737190034,82.9365394032293,79.83488035443263,128.2591842601452,119.88311089364917,9841.3581,1427.6176,0.15484,660.67970471447,2025-11-30
2025-12-01,34.90823550938724,82.38109349407641,78.72566457475358,127.75469154314104,118.44595381242686,10121.3715,1447.8377,-0.669724,676.80519117329,2025-12-31
2026-01-01,33.93048800037653,82.07244613681337,76.5997501955691,127.47294755012756,118.04734049378655,10413.0309,1449.3347,-0.374658,694.772536388,2026-01-31
2026-02-01,32.97541477301283,81.73753967165857,72.40562509351311,127.22884665904682,117.50967084419258,10714.6255,1409.6571,-0.408062,713.52639622544,2026-02-28
2026-03-01,31.896477448241505,80.83782923385532,69.37484975289806,126.82272364628629,117.53442980052112,11077.0608,1396.3387,-1.100731,735.3076309157,2026-03-31
2026-04-01,31.093585245084384,80.27002512969501,66.9075692557398,127.46556118888911,118.8532473461461,11363.0904,1381.4523,-0.702399,758.11795391868,2026-04-30
2026-05-01,30.43915190022373,79.95561707366501,66.24776710998283,128.57849998947816,118.93441675080727,11607.3937,1397.2372,-0.391688,781.17894217551,2026-05-31
2026-06-01,29.875440732848578,79.81714034134279,67.48893578539257,129.10910875662978,120.10390486004792,11826.4103,1450.2728,-0.173192,799.20332676852,2026-06-30
2026-07-01,29.257014037228675,79.51791466208853,67.76581029409182,129.0043536410618,,12076.3937,1487.0038,-0.374889,815.43451086916,2026-07-31
